circuitId,circuitRef,name,location,country,lat,lng,url
1,albert_park,Albert Park Grand Prix Circuit,Melbourne,AUSTRALIA,-37.8497,144.968,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
2,sepang,Sepang International Circuit,Kuala Lumpur,MALAYSIA,2.76083,101.738,http://en.wikipedia.org/wiki/Sepang_International_Circuit
3,bahrain,Bahrain International Circuit,Sakhir,BAHRAIN,26.0325,50.5106,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
4,catalunya,Circuit de Barcelona-Catalunya,MontmelÌ_,SPAIN,41.57,2.26111,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
5,istanbul,Istanbul Park,Istanbul,TURKEY,40.9517,29.405,http://en.wikipedia.org/wiki/Istanbul_Park
6,monaco,Circuit de Monaco,Monte-Carlo,MONACO,43.7347,7.42056,http://en.wikipedia.org/wiki/Circuit_de_Monaco
7,villeneuve,Circuit Gilles Villeneuve,Montreal,CANADA,45.5,-73.5228,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
8,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,FRANCE,46.8642,3.16361,http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
9,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,http://en.wikipedia.org/wiki/Silverstone_Circuit
10,hockenheimring,Hockenheimring,Hockenheim,GERMANY,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
11,hungaroring,Hungaroring,Budapest,HUNGARY,47.5789,19.2486,http://en.wikipedia.org/wiki/Hungaroring
12,valencia,Valencia Street Circuit,Valencia,SPAIN,39.4589,-0.331667,http://en.wikipedia.org/wiki/Valencia_Street_Circuit
13,spa,Circuit de Spa-Francorchamps,Spa,BELGIUM,50.4372,5.97139,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
14,monza,Autodromo Nazionale di Monza,Monza,ITALY,45.6156,9.28111,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
15,marina_bay,Marina Bay Street Circuit,Marina Bay,SINGAPORE,1.2914,103.864,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
16,fuji,Fuji Speedway,Oyama,JAPAN,35.3717,138.927,http://en.wikipedia.org/wiki/Fuji_Speedway
17,shanghai,Shanghai International Circuit,Shanghai,CHINA,31.3389,121.22,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
18,interlagos,AutÌ_dromo JosÌ© Carlos Pace,SÌ£o Paulo,BRAZIL,-23.7036,-46.6997,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
20,nurburgring,NÌ_rburgring,NÌ_rburg,GERMANY,50.3356,6.9475,http://en.wikipedia.org/wiki/N%C3%BCrburgring
21,imola,Autodromo Enzo e Dino Ferrari,Imola,ITALY,44.3439,11.7167,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
22,suzuka,Suzuka Circuit,Suzuka,JAPAN,34.8431,136.541,http://en.wikipedia.org/wiki/Suzuka_Circuit
23,osterreichring,A1-Ring,Spielburg,AUSTRIA,47.2197,14.7647,http://en.wikipedia.org/wiki/A1-Ring
24,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
25,galvez,AutÌ_dromo Juan y Oscar GÌÁlvez,Buenos Aires,ARGENTINA,-34.6943,-58.4593,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
26,jerez,Circuito de Jerez,Jerez de la Frontera,SPAIN,36.7083,-6.03417,http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez
27,estoril,AutÌ_dromo do Estoril,Estoril,PORTUGAL,38.7506,-9.39417,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril
28,okayama,Okayama International Circuit,Okayama,JAPAN,34.915,134.221,http://en.wikipedia.org/wiki/TI_Circuit
29,adelaide,Adelaide Street Circuit,Adelaide,AUSTRALIA,-34.9272,138.617,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit
30,kyalami,Kyalami,Midrand,SOUTH AFRICA,-25.9894,28.0767,http://en.wikipedia.org/wiki/Kyalami
31,donington,Donington Park,Castle Donington,UK,52.8306,-1.37528,http://en.wikipedia.org/wiki/Donington_Park
32,rodriguez,AutÌ_dromo Hermanos RodrÌ_guez,Mexico City,MEXICO,19.4042,-99.0907,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
34,ricard,Circuit Paul Ricard,Le Castellet,FRANCE,43.2506,5.79167,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
35,yeongam,Korean International Circuit,Yeongam County,KOREA,34.7333,126.417,http://en.wikipedia.org/wiki/Korean_International_Circuit
36,jacarepagua,AutÌ_dromo Internacional Nelson Piquet,Rio de Janeiro,BRAZIL,-22.9756,-43.395,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet
38,brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056,http://en.wikipedia.org/wiki/Brands_Hatch
39,zandvoort,Circuit Park Zandvoort,Zandvoort,NETHERLANDS,52.3888,4.54092,http://en.wikipedia.org/wiki/Circuit_Zandvoort
40,zolder,Zolder,Heusden-Zolder,BELGIUM,50.9894,5.25694,http://en.wikipedia.org/wiki/Zolder
41,dijon,Dijon-Prenois,Dijon,FRANCE,47.3625,4.89913,http://en.wikipedia.org/wiki/Dijon-Prenois
45,jarama,Jarama,Madrid,SPAIN,40.6171,-3.58558,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama
47,anderstorp,Scandinavian Raceway,Anderstorp,SWEDEN,57.2653,13.6042,http://en.wikipedia.org/wiki/Scandinavian_Raceway
48,mosport,Mosport International Raceway,Ontario,CANADA,44.0481,-78.6756,http://en.wikipedia.org/wiki/Mosport
49,montjuic,MontjuÌøc,Barcelona,SPAIN,41.3664,2.15167,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit
50,nivelles,Nivelles-Baulers,Brussels,BELGIUM,50.6211,4.32694,http://en.wikipedia.org/wiki/Nivelles-Baulers
51,charade,Charade Circuit,Clermont-Ferrand,FRANCE,45.7472,3.03889,http://en.wikipedia.org/wiki/Charade_Circuit
52,tremblant,Circuit Mont-Tremblant,Quebec,CANADA,46.1877,-74.6099,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant
53,essarts,Rouen-Les-Essarts,Rouen,FRANCE,49.3306,1.00458,http://en.wikipedia.org/wiki/Rouen-Les-Essarts
54,lemans,Le Mans,Le Mans,FRANCE,47.95,0.224231,http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit
55,reims,Reims-Gueux,Reims,FRANCE,49.2542,3.93083,http://en.wikipedia.org/wiki/Reims-Gueux
56,george,Prince George Circuit,Eastern Cape Province,SOUTH AFRICA,-33.0486,27.8736,http://en.wikipedia.org/wiki/Prince_George_Circuit
57,zeltweg,Zeltweg,Styria,AUSTRIA,47.2039,14.7478,http://en.wikipedia.org/wiki/Zeltweg_Airfield
58,aintree,Aintree,Liverpool,UK,53.4769,-2.94056,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
59,boavista,Circuito da Boavista,Oporto,PORTUGAL,41.1705,-8.67325,http://en.wikipedia.org/wiki/Circuito_da_Boavista
61,avus,AVUS,Berlin,GERMANY,52.4806,13.2514,http://en.wikipedia.org/wiki/AVUS
62,monsanto,Monsanto Park Circuit,Lisbon,PORTUGAL,38.7197,-9.20306,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit
64,ain-diab,Ain Diab,Casablanca,MOROCCO,33.5786,-7.6875,http://en.wikipedia.org/wiki/Ain-Diab_Circuit
65,pescara,Pescara Circuit,Pescara,ITALY,42.475,14.1508,http://en.wikipedia.org/wiki/Pescara_Circuit
